target_id	day0_1_count	day0_1_tpm	day0_2_count	day0_2_tpm	day0_3_count	day0_3_tpm	day1_1_count	day1_1_tpm	day1_2_count	day1_2_tpm	day1_3_count	day1_3_tpm	day2_1_count	day2_1_tpm	day2_2_count	day2_2_tpm	day2_3_count	day2_3_tpm
FBtr0070129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070124	0	0	3.01659	0.00587411	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070127	56.9866	0.189322	51.1709	0.149056	140.567	0.431386	41.7902	0.0964701	18.9955	0.0422102	87.3795	0.178551	30.3929	0.0678725	49.3884	0.0925858	30.3929	0.0558691
FBtr0100530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345314	1498.01	6.75471	2327.81	9.20312	2208.43	9.19876	982.21	3.07741	1102	3.32362	1069.62	2.9665	832.607	2.52362	929.612	2.36528	1171.8	2.92359
FBtr0070123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8046	0.0119872
FBtr0070125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0305494	56.0742	0.0607409	53.0818	0.050415	41.2331	0.0412589	9.61211	0.0072348	20.3906	0.0147736	21.729	0.0144771	33.1348	0.0241266	33.1348	0.0202532	33.1348	0.0198597
FBtr0070898	8.92578	0.0159112	15.7442	0.0246077	40.6856	0.0669961	36.8993	0.0457049	13.6094	0.0162267	0	0	5.86523	0.00702804	16.8652	0.0169644	9.86523	0.00973047
FBtr0076372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0083376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0337064	630.26	1.75209	938.851	2.28839	886.868	2.27746	232.69	0.449474	260.91	0.485137	311.719	0.532997	180.715	0.337696	150.061	0.235394	204.665	0.314813
FBtr0333082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333081	38.0872	0.0901094	56.8019	0.117828	24.8298	0.0542647	29.5689	0.0486088	23.7809	0.0376319	29.3254	0.0426735	24.2176	0.0385137	35.5957	0.0475203	47.0751	0.0616245
FBtr0076896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070134	129	0.351698	186	0.44462	159	0.400434	102	0.193228	109	0.198766	135	0.226379	116	0.212584	119	0.18307	140	0.211193
FBtr0081133	26	0.0276344	43	0.0400721	41	0.0402545	32	0.0236329	38	0.0270145	37	0.0241881	30	0.0214334	29	0.0173926	32	0.0188191
FBtr0084716	15	0.0183427	6	0.00643307	3	0.0033888	12	0.0101963	3	0.00245374	0	0	1	0.000821985	4	0.00276008	1	0.000676615
FBtr0333157	4.99999	0.0230604	0	0	0	0	0.999994	0.00320468	0	0	0	0	1.99999	0.00620039	2.99998	0.00780743	0.999995	0.00255192
FBtr0073653	1.47E-05	6.69E-08	0	0	0	0	5.52E-06	1.75E-08	0	0	3	0.00842776	1.21E-05	3.70E-08	1.50E-05	3.87E-08	5.21E-06	1.32E-08
FBtr0310000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310001	112.392	0.0646896	213.652	0.107821	222.388	0.11824	65.7283	0.0262871	72.7639	0.0280126	100.989	0.0357518	50.1811	0.0194149	63.0726	0.0204848	77.4602	0.0246689
FBtr0273391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0079344	3	0.0018531	1	0.000541594	1	0.0005706	0	0	0	0	0	0	4	0.00166085	0	0	0	0
FBtr0343867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.00150881
FBtr0344520	7.56196	0.00662102	8.19543	0.00629156	12.5712	0.0101677	0	0	13.9437	0.00816592	8.19543	0.00441352	0	0	10.1035	0.00499176	8.19543	0.00397039
FBtr0332869	10.5268	0.0563664	3.07014	0.0144138	0	0	9.04233	0.033643	4.43991	0.0159014	0	0	21.0158	0.0756423	8.69579	0.0262739	3.12434	0.00925664
FBtr0100555	0.000528471	4.93E-07	3.58804	0.00293348	0	0	2.74969	0.00178157	0	0	4.59968	0.00263803	2.82572	0.00177114	0	0	12.0461	0.00621506
FBtr0100880	48	1.47506	120	3.23331	147	4.17293	14	0.298942	47	0.966061	44	0.831659	13	0.268538	61	1.05777	49	0.833176
FBtr0077015	573	2.24687	821	2.82269	804	2.91228	245	0.667542	315	0.826172	353	0.851375	244	0.643141	265	0.586354	394	0.854852
FBtr0290083	0	0	1	0.00247146	0	0	0	0	0	0	1	0.00173373	0	0	0	0	0	0
FBtr0334766	7	0.0217239	1.42114	0.003867	2	0.00573356	2	0.0043128	2	0.00415152	2	0.00381762	1	0.00208609	0	0	3	0.00515149
FBtr0303151	0	0	2.57886	0.00429615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0087231	134.363	0.256152	236.954	0.396075	206.971	0.364485	110.287	0.146094	103.265	0.131676	98.7206	0.115757	82.9119	0.10625	97.9214	0.105338	0.000114635	1.21E-07
FBtr0087232	55.6369	0.105996	108.046	0.180481	83.0295	0.14612	47.713	0.0631612	44.7352	0.0570048	42.2794	0.0495423	36.0881	0.0462149	42.0786	0.0452353	175	0.184473
FBtr0074346	0	0	0	0	0	0	1	0.00316852	0	0	0	0	0	0	0	0	0	0
FBtr0073202	115	0.186001	204	0.289297	199	0.29732	94	0.105641	90	0.0973636	80	0.0795848	120	0.130464	154	0.140549	106	0.0948624
FBtr0332429	1	0.0103561	6	0.0544808	1	0.00956643	3	0.0215877	5	0.034634	2	0.0127394	0	0	0	0	1	0.00573016
FBtr0070682	294.731	1.6766	514.604	2.56668	588.939	3.09475	141.2	0.55812	187.116	0.711952	195.202	0.682982	121.157	0.463282	220.395	0.707448	192.647	0.606367
FBtr0087075	21.8394	0.0523704	58.389	0.122764	39.9479	0.0884896	10.2244	0.0170361	13.2771	0.0212953	9.23022	0.0136138	17	0.0274023	25.0304	0.0338691	20.1586	0.026747
FBtr0340004	7.0986	0.0110392	8.48101	0.011564	13.0712	0.0187773	2.02098	0.00218382	11	0.0114418	3	0.00286952	3	0.00313602	8	0.00702013	17.9395	0.0154364
FBtr0087339	0	0	0.56227	0.00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0290211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0344291	169.719	1.11072	288.884	1.65766	287.888	1.74041	117.952	0.536376	177.349	0.776317	128.804	0.518472	83.319	0.366532	143.276	0.529103	111.671	0.404377
FBtr0083632	79.0642	0.289924	105.597	0.339509	108.63	0.367966	54.3695	0.138532	37.8089	0.0927331	61.4371	0.138566	71.5733	0.17642	70.6613	0.14621	47.6415	0.0966631
FBtr0304675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0076343	51.8722	0.0359887	87.8047	0.0534127	84.836	0.0543707	10.3071	0.00496887	20.4848	0.00950606	45.0632	0.0192298	21.1713	0.00987354	15.7064	0.00614892	34.1713	0.0131179
FBtr0332249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0076210	105	0.175448	125	0.183132	133	0.205288	37	0.0429585	74	0.0827041	46	0.0472758	23	0.0258333	41	0.0386574	29	0.0268119
FBtr0333497	0.00837695	1.20E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333496	1.01194	0.00155487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333504	1.01348	0.00106636	2.35695	0.00217439	2.35695	0.00229084	1	0.000731106	3	0.0021113	2.04236	0.00132174	0	0	0	0	1	0.000582186
FBtr0333509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333506	3.0734	0.00580826	0	0	0	0	1	0.00131316	9	0.0113764	4.15479	0.00482947	2	0.00254068	0	0	0	0
FBtr0333502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.000169484
FBtr0333495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.000169484
FBtr0333508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333503	0	0	8.58183	0.00668762	2.86061	0.00234859	0	0	0	0	0	0	0	0	5.72122	0.00286929	5.72122	0.00281355
FBtr0347552	7.23094	0.00419352	5.12239	0.00260467	3	0.00160716	2	0.000805941	1	0.000387901	0	0	2	0.000779664	0	0	0	0
FBtr0333505	0	0	18.6431	0.0135089	18.6431	0.0142323	0	0	0	0	0	0	0	0	1.05862	0.000493669	0	0
FBtr0333499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0333498	48.6619	0.0664947	63.2958	0.0758349	61.1394	0.0771744	5	0.00474742	30	0.0274193	29.8028	0.0250483	9	0.00826673	17.1937	0.0132574	8.27878	0.00625944
FBtr0333501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02647	0.000222918	0	0
FBtr0333493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0345689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81E-08	8.15E-12	0	0
FBtr0087085	0	0	1	0.00355649	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081328	13.642	0.0189807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0081329	0	0	29.7877	0.0387408	22.2014	0.0304208	5.55165	0.00572199	14.3166	0.014204	2.8285	0.00258056	13.6196	0.0135798	43.6186	0.0365089	13.3567	0.0109624
FBtr0081330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0071903	3.04298	0.00191906	9	0.00497655	10	0.00582564	6	0.00262924	0	0	8	0.00310315	1	0.000423919	6	0.00213517	1	0.000348948
FBtr0306684	5.31E-07	2.69E-10	6.74E-06	2.99E-09	4.13E-07	1.93E-10	1.05E-06	3.68E-10	1.17E-06	3.96E-10	9.66E-07	3.01E-10	7.75E-07	2.64E-10	1.23E-06	3.52E-10	1.11E-06	3.12E-10
FBtr0302596	105	0.0539153	165	0.0742852	162	0.0768407	80	0.0285431	87	0.0298799	92	0.0290558	52	0.0179481	109	0.031582	93	0.0264227
FBtr0307272	68	0.15928	107	0.219751	129	0.279122	69	0.112303	107	0.167638	62	0.0893235	97	0.152727	116	0.15332	103	0.133493
FBtr0071072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0072906	8.40969	0.0215949	33.0166	0.0743361	0	0	2	0.00356854	0	0	12.3529	0.0195103	2	0.00345219	0	0	0	0
FBtr0072908	9.59031	0.0223159	17.7959	0.0363077	110	0.236444	0	0	59	0.0918272	113.647	0.162654	0	0	21	0.0275735	76	0.0978514
FBtr0072907	0	0	17.1875	0.030986	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0072905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089546	15	0.0235732	30	0.0413376	34	0.0493583	4	0.00436794	3	0.00315345	8	0.00773286	5	0.00528191	1	0.000886785	7	0.00608691
FBtr0089641	0	0	2.56058	0.00143088	6.14414	0.00361728	0	0	3.38979	0.00144503	0.00049263	1.93E-07	0	0	70.3718	0.0253079	0.0435371	1.54E-05
FBtr0343159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343160	154	0.0560637	240.612	0.0768024	279.856	0.094113	70	0.0177072	109.61	0.02669	118	0.0264219	134	0.0327913	74.6282	0.0153305	127.956	0.0257748
FBtr0308688	55.827	0.0454987	62.6327	0.0447561	63.8466	0.0480669	55.6975	0.0315413	65.5881	0.0357533	21.0878	0.0105708	28.3763	0.0155454	56.7526	0.0260994	35.4703	0.0159952
FBtr0070794	17.6747	0.015904	29.4443	0.0232301	31.7481	0.026389	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070795	1518.51	0.99609	2361.22	1.35805	2155.11	1.30588	625.897	0.285282	835.664	0.366648	858.73	0.346466	477.969	0.210753	794.817	0.294198	989.298	0.35907
FBtr0308689	1085.99	1.03031	1858.7	1.54614	2184.3	1.91429	643.405	0.424147	746.737	0.473857	661.173	0.385816	729.655	0.465322	572.43	0.306447	527.232	0.276768
FBtr0081243	16.3912	0.0464808	40.8075	0.101461	30	0.0785848	7	0.0137928	22	0.0417276	10	0.0174416	6	0.0114369	19	0.0304024	5.42236	0.00850791
FBtr0331324	0	0	7.19255	0.0153967	0	0	0	0	0	0	0	0	0	0	0	0	21.5776	0.0291491
FBtr0074002	23	0.0234243	6.98425	0.00623671	11.7017	0.0110088	13	0.00919966	1.69E-06	1.15E-09	15.8377	0.00992099	14	0.0095843	16	0.00919496	9	0.00507169
FBtr0074001	0	0	0	0	0	0	0	0	14	0.00757056	0.151097	7.51E-05	0	0	0	0	0	0
FBtr0340433	0	0	10.0157	0.0083539	13.2983	0.0116858	0	0	0	0	4.01116	0.00234695	0	0	0	0	0	0
FBtr0070065	46.994	0.0695249	157.974	0.204917	98.5845	0.134729	64.3748	0.0661764	32.0281	0.0316932	82.3879	0.0749695	48.4452	0.0481773	37.906	0.0316443	52.2679	0.0427863
FBtr0070064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0084008	51.351	0.0897838	75.6392	0.115956	54	0.087216	21.2571	0.0258251	21	0.0245587	41.3777	0.0444977	8.09722	0.00951651	29	0.0286113	35.3911	0.0342384
FBtr0082924	0	0	1	0.00150783	4	0.00635434	2	0.00238988	0	0	0	0	0	0	5	0.00485196	1	0.000951542
FBtr0084758	10227	47.5558	15390	62.7466	14887	63.9464	6676	21.5705	7982	24.8258	8178	23.3897	4538	14.1845	5497	14.4235	5644	14.5216
FBtr0307295	0	0	0	0	2.66407	0.00133134	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307292	0	0	0	0	0	0	0	0	11	0.00411742	7.29764	0.00251189	0	0	0	0	0	0
FBtr0307294	12.2502	0.00565451	13.4462	0.00544186	33.5372	0.0142999	14.4954	0.00464914	0	0	4.60735	0.00130806	0.803684	0.000249362	6.45668	0.00168172	11.2892	0.00288329
FBtr0307293	0	0	0	0	2.66407	0.00133134	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0307291	2.74982	0.00126783	3.55383	0.00143664	7.13468	0.00303868	3.50458	0.00112275	0	0	1.09501	0.000310524	0.196316	6.08E-05	1.54332	0.000401515	2.71078	0.000691546
